Ensembl	Gene_Name	ProbeID	Average_RMA	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes 	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000039252	Lgi2	1457040_at	7.40	2.8244E-04	0.72	1.8512E-03	1	2	3	protein_coding	5	52924758	"leucine-rich repeat LGI family, member 2 Gene [Source:MGI Symbol;Acc:MGI:2180196]"
ENSMUSG00000073678	Pgap1	1436317_at	8.69	2.8477E-04	0.85	1.8651E-03	1	1	2	protein_coding	1	54532544	post-GPI attachment to proteins 1 Gene [Source:MGI Symbol;Acc:MGI:2443342]
ENSMUSG00000034593	Myo5a	1419754_at	10.46	2.8585E-04	1.24	1.8707E-03	1	3	1	protein_coding	9	74918822	myosin VA Gene [Source:MGI (curated);Acc:MGI:105976]
ENSMUSG00000000827	Tpd52l2	1417107_at	7.50	2.9114E-04	0.88	1.9039E-03	1	3	4	protein_coding	2	181231847	tumor protein D52-like 2 Gene [Source:MGI (curated);Acc:MGI:1913564]
ENSMUSG00000026452	Syt2	1440323_at	7.40	2.9235E-04	0.79	1.9104E-03	1	3	4	protein_coding	1	136543258	synaptotagmin II Gene [Source:MGI (curated);Acc:MGI:99666]
ENSMUSG00000022905	Kpna1	1449503_at	8.43	2.9895E-04	1.26	1.9506E-03	1	4	4	protein_coding	16	35983432	karyopherin (importin) alpha 1 Gene [Source:MGI Symbol;Acc:MGI:103560]
ENSMUSG00000071337	Tia1	1416813_at	8.88	2.9878E-04	0.82	1.9506E-03	1	6	5	protein_coding	6	86354213	cytotoxic granule-associated RNA binding protein 1 Gene [Source:MGI (curated);Acc:MGI:107914]
ENSMUSG00000023846	Riok2	1436684_a_at	7.16	2.9976E-04	1.20	1.9544E-03	1	2	4	protein_coding	17	17511538	RIO kinase 2 (yeast) Gene [Source:MGI Symbol;Acc:MGI:1914295]
ENSMUSG00000039230	Tbcd	1452194_at	8.96	3.0157E-04	0.83	1.9647E-03	1	1	2	protein_coding	11	121313263	tubulin-specific chaperone d Gene [Source:MGI (curated);Acc:MGI:1919686]
ENSMUSG00000090134	CR974462.1	1423502_at	9.58	3.0270E-04	0.90	1.9694E-03	1	2	4	protein_coding	17	34249520	bromodomain-containing protein 2 isoform b  [Source:RefSeq peptide;Acc:NP_001020558]
ENSMUSG00000008575	Nfib	1434102_at	8.81	3.0274E-04	0.72	1.9694E-03	1	7	4	protein_coding	4	81936077	nuclear factor I/B Gene [Source:MGI (curated);Acc:MGI:103188]
ENSMUSG00000001942	Siae	1460387_a_at	7.78	3.0692E-04	1.19	1.9951E-03	1	3	4	protein_coding	9	37421432	sialic acid acetylesterase Gene [Source:MGI (curated);Acc:MGI:104803]
ENSMUSG00000050229	Pigm	1418964_at	6.13	3.0849E-04	1.22	2.0038E-03	1	1	2	protein_coding	1	174306687	"phosphatidylinositol glycan anchor biosynthesis, class M Gene [Source:MGI Symbol;Acc:MGI:1914806]"
ENSMUSG00000037266	D4Wsu53e	1417001_a_at	11.89	3.0881E-04	0.90	2.0044E-03	1	3	4	protein_coding	4	134479507	UPF0471 protein C1orf63 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q3UC65]
ENSMUSG00000028664	Ephb2	1454022_at	7.38	3.0976E-04	0.84	2.0090E-03	1	2	4	protein_coding	4	136203454	Eph receptor B2 Gene [Source:MGI (curated);Acc:MGI:99611]
ENSMUSG00000049562	Gm962	1439156_at	6.46	3.1160E-04	0.83	2.0194E-03	1	1	2	protein_coding	19	5568025	predicted gene 962 Gene [Source:MGI Symbol;Acc:MGI:2685808]
ENSMUSG00000063808	Gpatch1	1419013_at	8.46	3.1204E-04	1.13	2.0208E-03	1	1	2	protein_coding	7	36061555	G patch domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1914721]
ENSMUSG00000029022	Miip	1417120_at	7.57	3.1490E-04	1.17	2.0378E-03	1	1	2	protein_coding	4	147234887	migration and invasion inhibitory protein Gene [Source:MGI (curated);Acc:MGI:106506]
ENSMUSG00000027263	Tubgcp4	1429345_at	6.66	3.1523E-04	1.27	2.0384E-03	1	4	5	protein_coding	2	120996390	"tubulin, gamma complex associated protein 4 Gene [Source:MGI (curated);Acc:MGI:1196293]"
ENSMUSG00000036257	Pnpla8	1417768_at	10.61	3.1680E-04	0.89	2.0470E-03	1	2	4	protein_coding	12	45322357	patatin-like phospholipase domain containing 8 Gene [Source:MGI (curated);Acc:MGI:1914702]
ENSMUSG00000021843	Ktn1	1455434_a_at	10.05	3.1809E-04	0.87	2.0539E-03	1	1	2	protein_coding	14	48283452	kinectin 1 Gene [Source:MGI Symbol;Acc:MGI:109153]
ENSMUSG00000017344	Vtn	1455098_a_at	8.05	3.1869E-04	1.26	2.0562E-03	1	2	1	protein_coding	11	78312593	vitronectin Gene [Source:MGI (curated);Acc:MGI:98940]
ENSMUSG00000033983	Coil	1416692_at	8.69	3.1917E-04	1.14	2.0577E-03	1	1	2	protein_coding	11	88831566	coilin Gene [Source:MGI (curated);Acc:MGI:104842]
ENSMUSG00000019122	Ccl9	1417936_at	6.38	3.1962E-04	0.79	2.0582E-03	1	1	2	protein_coding	11	83386421	chemokine (C-C motif) ligand 9 Gene [Source:MGI (curated);Acc:MGI:104533]
ENSMUSG00000049184	Purg	1424970_at	10.75	3.1971E-04	0.86	2.0582E-03	1	1	2	protein_coding	8	34496096	purine-rich element binding protein G Gene [Source:MGI Symbol;Acc:MGI:1922279]
ENSMUSG00000006205	Htra1	1416749_at	11.06	3.2049E-04	1.12	2.0617E-03	1	1	2	protein_coding	7	138079625	HtrA serine peptidase 1 Gene [Source:MGI (curated);Acc:MGI:1929076]
ENSMUSG00000035933	Cog5	1435298_at	6.60	3.2178E-04	0.87	2.0678E-03	1	1	2	protein_coding	12	32339734	component of oligomeric golgi complex 5 Gene [Source:MGI Symbol;Acc:MGI:2145130]
ENSMUSG00000021518	Ptdss1	1416372_at	9.64	3.2191E-04	1.13	2.0678E-03	1	1	2	protein_coding	13	67034359	phosphatidylserine synthase 1 Gene [Source:MGI Symbol;Acc:MGI:1276575]
ENSMUSG00000034906	Ncaph	1423920_at	5.34	3.2449E-04	0.84	2.0828E-03	1	1	2	protein_coding	2	126929545	"non-SMC condensin I complex, subunit H Gene [Source:MGI (curated);Acc:MGI:2444777]"
ENSMUSG00000029440	Psmd9	1423386_at	7.67	3.2529E-04	1.18	2.0863E-03	1	1	2	protein_coding	5	123678199	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9 Gene [Source:MGI (curated);Acc:MGI:1914401]"
ENSMUSG00000027133	Nop10	1423210_a_at	11.23	3.2894E-04	1.15	2.1082E-03	1	2	1	protein_coding	2	112102083	NOP10 ribonucleoprotein homolog (yeast) Gene [Source:MGI (curated);Acc:MGI:1913431]
ENSMUSG00000042489	Clspn	1456280_at	6.95	3.3124E-04	1.48	2.1214E-03	1	1	2	protein_coding	4	126234179	claspin homolog (Xenopus laevis) Gene [Source:MGI (curated);Acc:MGI:2445153]
ENSMUSG00000019923	Zwint	1427539_a_at	7.52	3.3218E-04	0.79	2.1258E-03	1	4	4	protein_coding	10	72117593	ZW10 interactor Gene [Source:MGI (curated);Acc:MGI:1289227]
ENSMUSG00000033102	Cdc14b	1437070_at	7.99	3.3401E-04	0.83	2.1344E-03	1	1	2	protein_coding	13	64296668	CDC14 cell division cycle 14 homolog B (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:2441808]
ENSMUSG00000049791	Fzd4	1419301_at	6.72	3.3394E-04	0.74	2.1344E-03	1	1	2	protein_coding	7	96552894	frizzled homolog 4 (Drosophila) Gene [Source:MGI Symbol;Acc:MGI:108520]
ENSMUSG00000028483	Snapc3	1453077_a_at	7.74	3.3651E-04	0.79	2.1488E-03	1	4	4	protein_coding	4	83063628	"small nuclear RNA activating complex, polypeptide 3 Gene [Source:MGI (curated);Acc:MGI:1916338]"
ENSMUSG00000032221	Mns1	1419402_at	6.05	3.3824E-04	0.70	2.1583E-03	1	1	2	protein_coding	9	72286347	meiosis-specific nuclear structural protein 1 Gene [Source:MGI Symbol;Acc:MGI:107933]
ENSMUSG00000032679	Cd59a	1429830_a_at	8.25	3.3962E-04	0.56	2.1655E-03	1	1	2	protein_coding	2	103935958	CD59a antigen Gene [Source:MGI (curated);Acc:MGI:109177]
ENSMUSG00000059000	Zfp799	1437873_at	8.09	3.4063E-04	1.16	2.1703E-03	1	1	2	protein_coding	17	32952400	zinc finger protein 799 Gene [Source:MGI Symbol;Acc:MGI:2443934]
ENSMUSG00000021460	Auh	1420776_a_at	9.85	3.4104E-04	0.86	2.1714E-03	1	2	4	protein_coding	13	52930488	AU RNA binding protein/enoyl-coenzyme A hydratase Gene [Source:MGI (curated);Acc:MGI:1338011]
ENSMUSG00000029033	Acap3	1439021_at	8.60	3.4325E-04	0.85	2.1838E-03	1	1	2	protein_coding	4	155265984	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 Gene [Source:MGI (curated);Acc:MGI:2153589]"
ENSMUSG00000034317	Trim59	1416118_at	8.79	3.4638E-04	1.46	2.2021E-03	1	1	2	protein_coding	3	68839210	tripartite motif-containing 59 Gene [Source:MGI (curated);Acc:MGI:1914199]
ENSMUSG00000052833	Sae1	1430021_a_at	10.70	3.5044E-04	0.88	2.2263E-03	1	2	1	protein_coding	7	16906203	SUMO1 activating enzyme subunit 1 Gene [Source:MGI Symbol;Acc:MGI:1929264]
ENSMUSG00000019590	Cyb561	1417507_at	9.36	3.5179E-04	1.11	2.2316E-03	1	1	2	protein_coding	11	105795016	cytochrome b-561 Gene [Source:MGI (curated);Acc:MGI:103253]
ENSMUSG00000089774	Slc5a3	1440227_at	7.37	3.5178E-04	0.76	2.2316E-03	1	2	4	protein_coding	16	92058567	"solute carrier family 5 (inositol transporters), member 3 Gene [Source:MGI (curated);Acc:MGI:1858226]"
ENSMUSG00000024526	Cidea	1417956_at	6.27	3.5322E-04	0.77	2.2391E-03	1	1	2	protein_coding	18	67503253	"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A Gene [Source:MGI Symbol;Acc:MGI:1270845]"
ENSMUSG00000025742	Prps2	1420638_at	6.57	3.5571E-04	0.80	2.2532E-03	1	3	4	protein_coding	X	163784254	phosphoribosyl pyrophosphate synthetase 2 Gene [Source:MGI (curated);Acc:MGI:97776]
ENSMUSG00000034285	Nipsnap1	1456748_a_at	8.78	3.5806E-04	0.86	2.2664E-03	1	2	1	protein_coding	11	4773954	4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans) Gene [Source:MGI (curated);Acc:MGI:1278344]
ENSMUSG00000040502	March9	1437366_at	6.49	3.5957E-04	1.15	2.2743E-03	1	1	2	protein_coding	10	126492067	membrane-associated ring finger (C3HC4) 9 Gene [Source:MGI (curated);Acc:MGI:2446144]
ENSMUSG00000027361	Gabpb1	1436232_a_at	7.43	3.6135E-04	1.18	2.2839E-03	1	2	4	protein_coding	2	126453178	"GA repeat binding protein, beta 1 Gene [Source:MGI (curated);Acc:MGI:95611]"
ENSMUSG00000036452	Arhgap26	1435694_at	9.07	3.6171E-04	1.24	2.2845E-03	1	2	4	protein_coding	18	38761188	Rho GTPase activating protein 26 Gene [Source:MGI (curated);Acc:MGI:1918552]
ENSMUSG00000020392	Cdkn2aipnl	1452200_at	8.20	3.6504E-04	1.16	2.3039E-03	1	1	2	protein_coding	11	51781163	CDKN2A interacting protein N-terminal like Gene [Source:MGI (curated);Acc:MGI:1261797]
ENSMUSG00000037443	Ccdc21	1451212_at	6.51	3.6570E-04	1.21	2.3064E-03	1	1	2	protein_coding	4	133685773	coiled-coil domain containing 21 Gene [Source:MGI (curated);Acc:MGI:1917262]
ENSMUSG00000020571	Pdia6	1430983_at	5.74	3.6754E-04	0.77	2.3162E-03	1	2	4	protein_coding	12	17273351	protein disulfide isomerase associated 6 Gene [Source:MGI (curated);Acc:MGI:1919103]
ENSMUSG00000072792	Gm10421	1442558_at	7.09	3.6913E-04	1.28	2.3246E-03	1	1	2	protein_coding	12	118383003	predicted gene 10421 Gene [Source:MGI Symbol;Acc:MGI:3642601]
ENSMUSG00000034780	B3galt1	1450530_at	5.87	3.6968E-04	1.31	2.3264E-03	1	4	4	protein_coding	2	67942728	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 Gene [Source:MGI (curated);Acc:MGI:1349403]"
ENSMUSG00000034226	Rhov	1424976_at	6.11	3.7031E-04	0.79	2.3270E-03	1	1	2	protein_coding	2	119094937	"ras homolog gene family, member V Gene [Source:MGI (curated);Acc:MGI:2444227]"
ENSMUSG00000028524	Sgip1	1425181_at	10.03	3.7024E-04	1.20	2.3270E-03	1	5	4	protein_coding	4	102413902	SH3-domain GRB2-like (endophilin) interacting protein 1 Gene [Source:MGI (curated);Acc:MGI:1920344]
ENSMUSG00000046152	Fut10	1427617_at	5.50	3.7151E-04	1.30	2.3328E-03	1	1	2	protein_coding	8	32297803	fucosyltransferase 10 Gene [Source:MGI (curated);Acc:MGI:2384748]
ENSMUSG00000029090	Gpr125	1426782_at	8.19	3.7294E-04	0.79	2.3401E-03	1	1	2	protein_coding	5	50351195	G protein-coupled receptor 125 Gene [Source:MGI Symbol;Acc:MGI:1917943]
ENSMUSG00000027562	Car2	1448752_at	12.25	3.7363E-04	0.75	2.3416E-03	1	1	2	protein_coding	3	14886691	carbonic anhydrase 2 Gene [Source:MGI Symbol;Acc:MGI:88269]
ENSMUSG00000026600	Soat1	1417697_at	5.95	3.7373E-04	1.29	2.3416E-03	1	3	4	protein_coding	1	158358239	sterol O-acyltransferase 1 Gene [Source:MGI Symbol;Acc:MGI:104665]
ENSMUSG00000028226	Mmp16	1440161_at	6.20	3.7534E-04	0.61	2.3501E-03	1	3	4	protein_coding	4	17780040	matrix metallopeptidase 16 Gene [Source:MGI (curated);Acc:MGI:1276107]
ENSMUSG00000053897	Slc39a8	1416832_at	4.91	3.7952E-04	1.23	2.3745E-03	1	1	2	protein_coding	3	135488243	"solute carrier family 39 (metal ion transporter), member 8 Gene [Source:MGI (curated);Acc:MGI:1914797]"
ENSMUSG00000033577	Myo6	1435559_at	8.61	3.8009E-04	1.36	2.3764E-03	1	3	4	protein_coding	9	80012838	myosin VI Gene [Source:MGI (curated);Acc:MGI:104785]
ENSMUSG00000035686	Thrsp	1422973_a_at	7.34	3.8151E-04	1.34	2.3835E-03	1	2	1	protein_coding	7	104561448	thyroid hormone responsive SPOT14 homolog (Rattus) Gene [Source:MGI (curated);Acc:MGI:109126]
ENSMUSG00000043923	Ccdc84	1454839_a_at	7.46	3.8316E-04	0.81	2.3904E-03	1	1	2	protein_coding	9	44218249	coiled-coil domain containing 84 Gene [Source:MGI Symbol;Acc:MGI:2685960]
ENSMUSG00000025555	Farp1	1452280_at	8.92	3.8295E-04	1.16	2.3904E-03	1	1	2	protein_coding	14	121434422	"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) Gene [Source:MGI (curated);Acc:MGI:2446173]"
ENSMUSG00000024539	Ptpn2	1438562_a_at	8.83	3.8379E-04	0.89	2.3926E-03	1	4	3	protein_coding	18	67825165	"protein tyrosine phosphatase, non-receptor type 2 Gene [Source:MGI (curated);Acc:MGI:97806]"
ENSMUSG00000026043	Col3a1	1427883_a_at	6.56	3.8557E-04	0.73	2.4020E-03	0	1	N/A	protein_coding	1	45368383	"collagen, type III, alpha 1 Gene [Source:MGI (curated);Acc:MGI:88453]"
ENSMUSG00000024677	Ms4a6b	1418826_at	6.34	3.8744E-04	1.24	2.4119E-03	1	1	2	protein_coding	19	11591002	"membrane-spanning 4-domains, subfamily A, member 6B Gene [Source:MGI (curated);Acc:MGI:1917024]"
ENSMUSG00000022962	Gart	1424435_a_at	7.84	3.9007E-04	0.85	2.4265E-03	1	3	4	protein_coding	16	91621431	phosphoribosylglycinamide formyltransferase Gene [Source:MGI (curated);Acc:MGI:95654]
ENSMUSG00000038172	Ttc39b	1452009_at	8.39	3.9212E-04	1.31	2.4375E-03	1	2	1	protein_coding	4	82866204	tetratricopeptide repeat domain 39B Gene [Source:MGI (curated);Acc:MGI:1917113]
ENSMUSG00000028402	Mpdz	1418663_at	7.83	3.9374E-04	1.14	2.4424E-03	1	3	4	protein_coding	4	80924404	multiple PDZ domain protein Gene [Source:MGI (curated);Acc:MGI:1343489]
ENSMUSG00000028756	Pink1	1451148_at	11.21	3.9364E-04	1.15	2.4424E-03	1	1	2	protein_coding	4	137869324	PTEN induced putative kinase 1 Gene [Source:MGI (curated);Acc:MGI:1916193]
ENSMUSG00000018427	Ypel2	1454901_at	9.12	3.9323E-04	1.23	2.4424E-03	1	2	4	protein_coding	11	86749927	yippee-like 2 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:1925114]
ENSMUSG00000003199	Mpnd	1451357_at	10.00	3.9722E-04	0.89	2.4622E-03	1	1	2	protein_coding	17	56145134	MPN domain containing Gene [Source:MGI (curated);Acc:MGI:1915297]
ENSMUSG00000034673	Pbx2	1449261_at	8.25	3.9937E-04	0.86	2.4737E-03	1	2	4	protein_coding	17	34729208	pre B-cell leukemia transcription factor 2 Gene [Source:MGI Symbol;Acc:MGI:1341793]
ENSMUSG00000025133	Ints4	1423806_at	8.07	4.0216E-04	1.18	2.4846E-03	1	1	2	protein_coding	7	104629528	integrator complex subunit 4 Gene [Source:MGI Symbol;Acc:MGI:1917164]
ENSMUSG00000020593	Lpin1	1418288_at	7.68	4.0227E-04	0.83	2.4846E-03	1	2	3	protein_coding	12	16543442	lipin 1 Gene [Source:MGI Symbol;Acc:MGI:1891340]
ENSMUSG00000027133	Nop10	1423211_at	10.40	4.0152E-04	1.17	2.4846E-03	1	2	1	protein_coding	2	112102083	NOP10 ribonucleoprotein homolog (yeast) Gene [Source:MGI (curated);Acc:MGI:1913431]
ENSMUSG00000028032	Papss1	1415890_at	10.44	4.0225E-04	1.14	2.4846E-03	1	1	2	protein_coding	3	131227860	3'-phosphoadenosine 5'-phosphosulfate synthase 1 Gene [Source:MGI Symbol;Acc:MGI:1330587]
ENSMUSG00000000530	Acvrl1	1435825_at	6.52	4.0443E-04	1.26	2.4949E-03	1	2	4	protein_coding	15	100958953	"activin A receptor, type II-like 1 Gene [Source:MGI (curated);Acc:MGI:1338946]"
ENSMUSG00000020736	Nt5c	1417252_at	8.80	4.0450E-04	0.85	2.4949E-03	1	1	2	protein_coding	11	115351734	"5',3'-nucleotidase, cytosolic Gene [Source:MGI (curated);Acc:MGI:1354954]"
ENSMUSG00000025104	Hdgfrp3	1435977_at	10.51	4.0836E-04	0.88	2.5151E-03	1	3	4	protein_coding	7	89026137	"hepatoma-derived growth factor, related protein 3 Gene [Source:MGI (curated);Acc:MGI:1352760]"
ENSMUSG00000066456	Hmgn3	1431777_a_at	9.49	4.0819E-04	1.14	2.5151E-03	1	2	1	protein_coding	9	83003555	high mobility group nucleosomal binding domain 3 Gene [Source:MGI (curated);Acc:MGI:2138069]
ENSMUSG00000041408	Wapal	1434778_at	8.74	4.0984E-04	1.23	2.5224E-03	1	2	1	protein_coding	14	35487114	wings apart-like homolog (Drosophila) Gene [Source:MGI (curated);Acc:MGI:2675859]
ENSMUSG00000022961	Son	1439074_a_at	7.61	4.1041E-04	1.17	2.5241E-03	1	6	4	protein_coding	16	91647751	Son DNA binding protein Gene [Source:MGI (curated);Acc:MGI:98353]
ENSMUSG00000020758	Itgb4	1427387_a_at	7.77	4.1095E-04	0.68	2.5256E-03	1	1	2	protein_coding	11	115836023	integrin beta 4 Gene [Source:MGI (curated);Acc:MGI:96613]
ENSMUSG00000028600	Podn	1435180_at	6.91	4.1314E-04	0.87	2.5373E-03	1	1	2	protein_coding	4	107687396	podocan Gene [Source:MGI (curated);Acc:MGI:2674939]
ENSMUSG00000056342	Usp34	1434393_at	8.83	4.1393E-04	0.81	2.5403E-03	1	3	4	protein_coding	11	23206916	ubiquitin specific peptidase 34 Gene [Source:MGI (curated);Acc:MGI:109473]
ENSMUSG00000025925	Terf1	1418380_at	6.43	4.1550E-04	0.85	2.5482E-03	1	2	4	protein_coding	1	15795739	telomeric repeat binding factor 1 Gene [Source:MGI Symbol;Acc:MGI:109634]
ENSMUSG00000028999	Rint1	1456394_at	5.22	4.1628E-04	1.18	2.5512E-03	1	2	4	protein_coding	5	23293529	RAD50 interactor 1 Gene [Source:MGI (curated);Acc:MGI:1916233]
ENSMUSG00000013973	Dedd	1432000_a_at	7.97	4.1839E-04	0.86	2.5605E-03	1	2	1	protein_coding	1	173259276	death effector domain-containing Gene [Source:MGI (curated);Acc:MGI:1333874]
ENSMUSG00000018160	Med1	1448708_at	9.00	4.1822E-04	0.86	2.5605E-03	1	3	1	protein_coding	11	98013468	mediator complex subunit 1 Gene [Source:MGI (curated);Acc:MGI:1100846]
ENSMUSG00000037892	Pcdh18	1422890_at	4.46	4.1895E-04	1.22	2.5621E-03	1	2	1	protein_coding	3	49547243	protocadherin 18 Gene [Source:MGI Symbol;Acc:MGI:1920423]
ENSMUSG00000045515	Pou3f3	1435197_at	10.14	4.2172E-04	1.16	2.5772E-03	1	3	4	protein_coding	1	42753991	"POU domain, class 3, transcription factor 3 Gene [Source:MGI (curated);Acc:MGI:102564]"
ENSMUSG00000010086	Rnf112	1418360_at	11.13	4.2316E-04	1.18	2.5842E-03	1	2	4	protein_coding	11	61261944	ring finger protein 112 Gene [Source:MGI (curated);Acc:MGI:106611]
ENSMUSG00000059142	A630033E08Rik	1437127_at	7.16	4.2528E-04	0.76	2.5954E-03	1	2	3	protein_coding	17	22985997	RIKEN cDNA A630033E08 gene Gene [Source:MGI Symbol;Acc:MGI:2445132]
ENSMUSG00000069135	Fgfr1op	1428919_at	8.62	4.2726E-04	0.87	2.6056E-03	1	1	2	protein_coding	17	8358366	Fgfr1 oncogene partner Gene [Source:MGI (curated);Acc:MGI:1922546]
ENSMUSG00000048490	Nrip1	1418469_at	7.35	4.2869E-04	1.34	2.6125E-03	1	5	5	protein_coding	16	76287645	nuclear receptor interacting protein 1 Gene [Source:MGI (curated);Acc:MGI:1315213]
ENSMUSG00000050549	5730508B09Rik	1429678_at	8.52	4.3162E-04	1.24	2.6285E-03	1	1	2	protein_coding	3	127572606	RIKEN cDNA 5730508B09 gene Gene [Source:MGI Symbol;Acc:MGI:1917867]
ENSMUSG00000046818	Ddit4l	1451751_at	7.35	4.3585E-04	1.33	2.6505E-03	1	3	4	protein_coding	3	137286700	DNA-damage-inducible transcript 4-like Gene [Source:MGI Symbol;Acc:MGI:1920534]
ENSMUSG00000030759	Far1	1453550_a_at	7.43	4.3569E-04	1.35	2.6505E-03	1	4	4	protein_coding	7	120657348	fatty acyl CoA reductase 1 Gene [Source:MGI (curated);Acc:MGI:1914670]
ENSMUSG00000028394	Pole3	1452743_at	8.30	4.3661E-04	0.87	2.6515E-03	1	1	2	protein_coding	4	62183683	"polymerase (DNA directed), epsilon 3 (p17 subunit) Gene [Source:MGI (curated);Acc:MGI:1933378]"
ENSMUSG00000024976	Shoc2	1423129_at	9.61	4.3644E-04	0.79	2.6515E-03	1	2	1	protein_coding	19	54019370	soc-2 (suppressor of clear) homolog (C. elegans) Gene [Source:MGI Symbol;Acc:MGI:1927197]
ENSMUSG00000078676	Casc3	1441274_at	7.25	4.4391E-04	1.24	2.6924E-03	1	2	4	protein_coding	11	98666219	cancer susceptibility candidate 3 Gene [Source:MGI (curated);Acc:MGI:2179723]
ENSMUSG00000032103	Pus3	1418491_a_at	6.77	4.4398E-04	0.81	2.6924E-03	1	2	4	protein_coding	9	35366180	pseudouridine synthase 3 Gene [Source:MGI (curated);Acc:MGI:1914299]
ENSMUSG00000062014	Gmfb	1448571_a_at	7.91	4.4705E-04	1.21	2.7092E-03	1	4	4	protein_coding	14	47427824	"glia maturation factor, beta Gene [Source:MGI (curated);Acc:MGI:1927133]"
ENSMUSG00000021591	Glrx	1416593_at	7.93	4.4886E-04	0.75	2.7182E-03	1	1	2	protein_coding	13	75977316	glutaredoxin Gene [Source:MGI (curated);Acc:MGI:2135625]
ENSMUSG00000013698	Pea15a	1416407_at	10.96	4.5109E-04	0.86	2.7298E-03	1	2	4	protein_coding	1	174126859	phosphoprotein enriched in astrocytes 15A Gene [Source:MGI (curated);Acc:MGI:104799]
ENSMUSG00000026683	Nuf2	1430811_a_at	6.73	4.5225E-04	0.65	2.7349E-03	1	1	2	protein_coding	1	171428065	"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1914227]"
ENSMUSG00000047036	Zfp445	1427254_at	9.12	4.5360E-04	0.78	2.7412E-03	1	1	2	protein_coding	9	122760143	zinc finger protein 445 Gene [Source:MGI Symbol;Acc:MGI:2143340]
ENSMUSG00000031918	Mtmr2	1425459_at	6.72	4.5450E-04	0.80	2.7447E-03	1	1	2	protein_coding	9	13552854	myotubularin related protein 2 Gene [Source:MGI (curated);Acc:MGI:1924366]
ENSMUSG00000019810	Fuca2	1440313_at	7.38	4.5613E-04	0.86	2.7527E-03	1	2	4	protein_coding	10	13219346	"fucosidase, alpha-L- 2, plasma Gene [Source:MGI (curated);Acc:MGI:1914098]"
ENSMUSG00000025940	Tmem70	1424541_at	9.34	4.5750E-04	1.16	2.7590E-03	1	1	2	protein_coding	1	16655272	transmembrane protein 70 Gene [Source:MGI Symbol;Acc:MGI:1915068]
ENSMUSG00000040249	Lrp1	1448655_at	10.28	4.5784E-04	0.87	2.7591E-03	1	2	4	protein_coding	10	126975217	low density lipoprotein receptor-related protein 1 Gene [Source:MGI (curated);Acc:MGI:96828]
ENSMUSG00000032295	Man2c1	1423687_a_at	10.29	4.6116E-04	0.84	2.7772E-03	1	2	1	protein_coding	9	56978497	"mannosidase, alpha, class 2C, member 1 Gene [Source:MGI (curated);Acc:MGI:1920994]"
ENSMUSG00000018378	Cuedc1	1435358_at	7.62	4.6231E-04	0.84	2.7805E-03	1	3	4	protein_coding	11	87912648	CUE domain containing 1 Gene [Source:MGI (curated);Acc:MGI:2144281]
ENSMUSG00000041794	Myrip	1460601_at	9.65	4.6236E-04	0.80	2.7805E-03	1	1	2	protein_coding	9	120213054	myosin VIIA and Rab interacting protein Gene [Source:MGI (curated);Acc:MGI:2384407]
ENSMUSG00000075593	Gal3st4	1435606_at	6.37	4.6311E-04	1.26	2.7812E-03	1	1	2	protein_coding	5	138706149	galactose-3-O-sulfotransferase 4 Gene [Source:MGI (curated);Acc:MGI:1916254]
ENSMUSG00000059970	Hspa2	1417101_at	8.05	4.6287E-04	1.21	2.7812E-03	1	1	2	protein_coding	12	77505163	heat shock protein 2 Gene [Source:MGI Symbol;Acc:MGI:96243]
ENSMUSG00000033029	1700088E04Rik	1422774_at	7.22	4.6429E-04	0.88	2.7830E-03	1	1	2	protein_coding	15	78965086	RIKEN cDNA 1700088E04 gene Gene [Source:MGI Symbol;Acc:MGI:1920774]
ENSMUSG00000026709	Dars2	1433838_at	7.10	4.6390E-04	1.19	2.7830E-03	1	1	2	protein_coding	1	162970732	aspartyl-tRNA synthetase 2 (mitochondrial) Gene [Source:MGI (curated);Acc:MGI:2442510]
ENSMUSG00000042992	Loh12cr1	1451918_a_at	8.87	4.6437E-04	1.12	2.7830E-03	1	1	2	protein_coding	6	134590958	"loss of heterozygosity, 12, chromosomal region 1 homolog (human) Gene [Source:MGI (curated);Acc:MGI:1915024]"
ENSMUSG00000042705	Commd10	1428491_at	8.55	4.6770E-04	1.15	2.8010E-03	1	1	2	protein_coding	18	47118515	COMM domain containing 10 Gene [Source:MGI Symbol;Acc:MGI:1916706]
